Symbol,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHNG,%CHNG,VOLUME (shares),VALUE (₹ Crores),52W H,52W L,30 D %CHNG,365 D % CHNG 10-Sep-2024,TICKER,Industry,Company Name
LICI,878.00,879.20,871.40,877.65,874.15,-,-3.5,-0.4,"3,40,501",29.78,"1,048.90",715.30,-3.17,-14.97,LICI.NS,Financial Services,Life Insurance Corporation of India
AMBUJACEM,566.80,566.80,561.60,566.85,564.30,-,-2.55,-0.45,"5,54,897",31.27,643.30,453.05,-3.74,-9.60,AMBUJACEM.NS,Construction Materials,Ambuja Cements Ltd.
ICICIPRULI,603.55,606.95,598.25,602.25,599.50,-,-2.75,-0.46,"1,78,189",10.72,796.80,525.80,-1.21,-19.27,ICICIPRULI.NS,Financial Services,ICICI Prudential Life Insurance Company Ltd.
ICICIGI,"1,855.20","1,861.10","1,836.40","1,855.20","1,846.20",-,-9.0,-0.49,"48,116",8.89,"2,301.90","1,613.70",-2.45,-14.15,ICICIGI.NS,Financial Services,ICICI Lombard General Insurance Company Ltd.
M&M,"3,620.00","3,647.90","3,580.00","3,604.40","3,582.10",-,-22.3,-0.62,"5,71,906",205.96,"3,723.80","2,425.00",13.13,33.99,M&M.NS,Automobile and Auto Components,Mahindra & Mahindra Ltd.
ULTRACEMCO,"12,478.00","12,517.00","12,394.00","12,478.00","12,399.00",-,-79.0,-0.63,"17,723",22.03,"13,097.00","10,047.85",0.59,8.12,ULTRACEMCO.NS,Construction Materials,UltraTech Cement Ltd.
DABUR,547.25,548.40,543.20,547.50,543.95,-,-3.55,-0.65,"1,92,196",10.48,672.00,433.30,7.34,-17.70,DABUR.NS,Fast Moving Consumer Goods,Dabur India Ltd.
SBILIFE,"1,824.80","1,824.90","1,813.20","1,833.70","1,820.60",-,-13.1,-0.71,"1,73,734",31.59,"1,927.95","1,372.55",-0.93,-1.07,SBILIFE.NS,Financial Services,SBI Life Insurance Company Ltd.
CHOLAFIN,"1,522.00","1,530.20","1,501.50","1,522.40","1,510.90",-,-11.5,-0.76,"5,21,403",79.03,"1,684.40","1,168.00",2.66,0.98,CHOLAFIN.NS,Financial Services,Cholamandalam Investment and Finance Company Ltd.
HEROMOTOCO,"5,350.50","5,363.00","5,293.00","5,350.50","5,308.00",-,-42.5,-0.79,"1,35,992",72.31,"6,246.25","3,344.00",17.28,-5.63,HEROMOTOCO.NS,Automobile and Auto Components,Hero MotoCorp Ltd.
EICHERMOT,"6,805.00","6,828.50","6,757.50","6,836.50","6,775.00",-,-61.5,-0.9,"1,84,847",125.44,"6,937.00","4,508.75",20.54,44.32,EICHERMOT.NS,Automobile and Auto Components,Eicher Motors Ltd.
WIPRO,255.70,255.70,252.55,255.75,253.29,-,-2.46,-0.96,"25,90,959",65.72,324.60,228.00,5.85,-51.36,WIPRO.NS,Information Technology,Wipro Ltd.
TVSMOTOR,"3,495.30","3,502.40","3,455.50","3,495.30","3,461.40",-,-33.9,-0.97,"1,70,365",59.18,"3,602.70","2,171.40",17.24,26.87,TVSMOTOR.NS,Automobile and Auto Components,TVS Motor Company Ltd.
LTIM,"5,335.00","5,335.00","5,215.00","5,307.00","5,249.00",-,-58.0,-1.09,"64,373",33.81,"6,767.95","3,802.00",4.75,-16.34,LTIM.NS,Information Technology,LTIMindtree Ltd.
DMART,"4,642.30","4,646.00","4,575.10","4,631.30","4,579.00",-,-52.3,-1.13,"1,04,125",47.91,"5,484.85","3,340.00",10.68,-13.34,DMART.NS,Consumer Services,Avenue Supermarts Ltd.
DRREDDY,"1,304.00","1,304.00","1,283.00","1,304.20","1,288.10",-,-16.1,-1.23,"3,62,983",46.84,"1,405.90","1,020.00",6.95,-80.39,DRREDDY.NS,Healthcare,Dr. Reddy's Laboratories Ltd.
TECHM,"1,526.00","1,531.50","1,505.70","1,526.00","1,505.80",-,-20.2,-1.32,"1,90,601",28.84,"1,807.70","1,209.40",3.03,-5.06,TECHM.NS,Information Technology,Tech Mahindra Ltd.
INFY,"1,523.90","1,527.50","1,508.20","1,532.60","1,512.00",-,-20.6,-1.34,"21,51,903",326.16,"2,006.45","1,307.00",7.31,-19.86,INFY.NS,Information Technology,Infosys Ltd.
BAJAJ-AUTO,"9,243.50","9,243.50","9,110.50","9,244.00","9,119.00",-,-125.0,-1.35,"1,25,183",114.76,"12,774.00","7,089.35",11.71,-15.87,BAJAJ-AUTO.NS,Automobile and Auto Components,Bajaj Auto Ltd.
BOSCHLTD,"41,190.00","41,200.00","40,400.00","41,005.00","40,445.00",-,-560.0,-1.37,"10,456",42.64,"41,945.00","25,921.60",5.93,22.28,BOSCHLTD.NS,Automobile and Auto Components,Bosch Ltd.
NAUKRI,"1,382.50","1,383.00","1,355.10","1,385.80","1,362.70",-,-23.1,-1.67,"1,38,871",18.98,"1,825.78","1,157.00",4.94,-81.47,NAUKRI.NS,Consumer Services,Info Edge (India) Ltd.
